entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E003,1,L038,0.35862326,0.23197464
E003,1,L041,0.34639794,0.1616704
E003,1,L042,0.35230505,0.23825424
E003,1,L043,0.37659248,0.30731442
E003,1,L044,0.24910638,0.18775754
E003,1,L045,0.40316414,0.20785426
E003,1,L046,0.34770416,0.21467597
E003,1,L047,0.45906557,0.2890134
E003,1,L048,0.3706526,0.15709673
E003,1,L051,0.36058118,0.23164772
E003,1,L052,0.33078591,0.07034968
E003,1,L053,0.31765741,0.25038771
E003,1,L054,0.36965149,0.16275703
E003,1,L055,0.38439479,0.23432542
E003,1,L056,0.30283746,0.2973353
E003,1,L057,0.42383473,0.23557381
E003,1,L058,0.38586624,0.29288484
E003,1,L061,0.31681421,0.15724273
E003,1,L062,0.32738852,0.19449038
E003,1,L063,0.37227428,0.12459521
E003,1,L064,0.34272007,0.34839635
E003,1,L065,0.28956086,0.20396751
E003,1,L066,0.41232126,0.2071125
E003,1,L067,0.29167361,0.15146107
E003,1,L068,0.47386647,0.20658905
E003,1,L071,0.37558891,0.25006296
E003,1,L072,0.3817128,0.29580321
E003,1,L073,0.39476983,0.25667456
E003,1,L074,0.19249321,0.14606183
E003,1,L075,0.41943545,0.23716526
E003,1,L076,0.44773588,0.21497338
E003,1,L077,0.54085197,0.30335312
E003,1,L078,0.30493463,0.19398212
E003,1,L081,0.32001456,0.21771492
E003,1,L082,0.31811168,0.16324808
E003,1,L083,0.47748588,0.38171812
E003,1,L084,0.30960863,0.12780183
E003,1,L085,0.27651237,0.17063991
E003,1,L086,0.19874409,0.17305813
E003,1,L087,0.26917815,0.25072707
E003,1,L088,0.3933151,0.19214274
E003,1,L091,0.38320969,0.34201993
E003,1,L092,0.42039905,0.28523408
E003,1,L093,0.36096649,0.1923495
E003,1,L094,0.27561398,0.13718676
E003,1,L095,0.38467925,0.29761726
E003,1,L096,0.36721066,0.24704114
E003,1,L097,0.393855,0.17066474
E003,1,L098,0.24660262,0.241841
E003,1,L101,0.43586515,0.20083758
E003,1,L102,0.55431956,0.24671939
E003,1,L103,0.40486897,0.19293437
E003,1,L104,0.25729053,0.20273967
E003,1,L105,0.41182763,0.23118588
E003,1,L106,0.43720609,0.29723897
E003,1,L107,0.36033476,0.19592529
E003,1,L108,0.39377389,0.19970991
E003,1,L111,0.22319577,0.17402998
E003,1,L112,0.27145702,0.10091677
E003,1,L113,0.4153876,0.16212191
E003,1,L114,0.40300843,0.18846292
E003,1,L115,0.37568869,0.17506546
E003,1,L116,0.38990994,0.17789049
E003,1,L117,0.3123198,0.11181968
E003,1,L118,0.34841592,0.1270511
E003,2,L001,0.40151428,0.31471875
E003,2,L002,0.36546223,0.46785488
E003,2,L003,0.39453172,0.23352324
E003,2,L004,0.4315644,0.17748176
E003,2,L005,0.39274032,0.39059939
E003,2,L006,0.48286726,0.18945874
E003,2,L007,0.25324449,0.21255858
E003,2,L008,0.52931739,0.44887834
E003,2,L011,0.26413969,0.17316841
E003,2,L012,0.45609141,0.1963141
E003,2,L013,0.22356697,0.15368176
E003,2,L014,0.33521917,0.2612773
E003,2,L015,0.33810736,0.19127563
E003,2,L016,0.31242776,0.2119708
E003,2,L017,0.23103518,0.15488937
E003,2,L018,0.3253598,0.27565137
E003,2,L021,0.30321718,0.16395624
E003,2,L022,0.30992099,0.20728444
E003,2,L023,0.32058134,0.14573897
